"","PassengerId","Pclass","Sex","AgeRange","AgeRangeLabels","HasCabin","Companions","Embarked","Survived"
"2",325,"3","male","1","<16","FALSE",11,"S","0"
"4",126,"3","male","1","<16","FALSE",2,"C","1"
"5",283,"3","male","1","<16","FALSE",1,"S","0"
"6",96,"3","male","1","<16","FALSE",1,"S","0"
"7",148,"3","female","1","<16","FALSE",5,"S","0"
"8",66,"3","male","1","<16","FALSE",3,"C","1"
"9",187,"3","female","1","<16","FALSE",2,"Q","1"
"10",469,"3","male","1","<16","FALSE",1,"Q","0"
"11",446,"1","male","1","<16","TRUE",3,"S","1"
"12",120,"3","female","1","<16","FALSE",7,"S","0"
"14",369,"3","female","1","<16","FALSE",1,"Q","1"
"16",828,"2","male","1","<16","FALSE",3,"C","1"
"17",722,"3","male","1","<16","FALSE",1,"S","0"
"18",533,"3","male","1","<16","FALSE",1,"C","0"
"19",687,"3","male","1","<16","FALSE",7,"S","0"
"20",40,"3","female","1","<16","FALSE",2,"C","1"
"21",83,"3","female","1","<16","FALSE",1,"Q","1"
"23",164,"3","male","1","<16","FALSE",1,"S","0"
"24",79,"2","male","1","<16","FALSE",3,"S","1"
"25",782,"1","female","1","<16","TRUE",2,"S","1"
"26",365,"3","male","1","<16","FALSE",2,"Q","0"
"27",382,"3","female","1","<16","FALSE",3,"C","1"
"28",166,"3","male","1","<16","FALSE",3,"S","1"
"29",792,"2","male","1","<16","FALSE",2,"S","0"
"30",814,"3","female","1","<16","FALSE",7,"S","0"
"31",199,"3","female","1","<16","FALSE",1,"Q","1"
"32",375,"3","female","1","<16","FALSE",5,"S","0"
"33",619,"2","female","1","<16","TRUE",4,"S","1"
"34",645,"3","female","1","<16","FALSE",4,"C","1"
"35",390,"2","female","1","<16","FALSE",1,"C","1"
"39",60,"3","male","1","<16","FALSE",8,"S","0"
"40",234,"3","female","1","<16","FALSE",7,"S","1"
"41",262,"3","male","1","<16","FALSE",7,"S","1"
"43",25,"3","female","1","<16","FALSE",5,"S","0"
"44",185,"3","female","1","<16","FALSE",3,"S","1"
"45",267,"3","male","1","<16","FALSE",7,"S","0"
"47",160,"3","male","1","<16","FALSE",11,"S","0"
"48",847,"3","male","1","<16","FALSE",11,"S","0"
"50",447,"2","female","1","<16","FALSE",2,"S","1"
"51",490,"3","male","1","<16","FALSE",3,"S","1"
"53",854,"1","female","1","<16","TRUE",2,"S","1"
"54",46,"3","male","1","<16","FALSE",1,"S","0"
"55",279,"3","male","1","<16","FALSE",6,"Q","0"
"56",64,"3","male","1","<16","FALSE",6,"S","0"
"57",481,"3","male","1","<16","FALSE",8,"S","0"
"59",765,"3","male","1","<16","FALSE",1,"S","0"
"60",334,"3","male","1","<16","FALSE",2,"S","0"
"65",44,"2","female","1","<16","FALSE",4,"C","1"
"66",341,"2","male","1","<16","TRUE",3,"S","1"
"67",59,"2","female","1","<16","FALSE",4,"S","1"
"68",221,"3","male","1","<16","FALSE",1,"S","1"
"69",668,"3","male","1","<16","FALSE",1,"S","0"
"71",183,"3","male","1","<16","FALSE",7,"S","0"
"72",172,"3","male","1","<16","FALSE",6,"Q","0"
"73",470,"3","female","1","<16","FALSE",4,"C","1"
"74",308,"1","female","1","<16","TRUE",3,"C","1"
"75",551,"1","male","1","<16","TRUE",4,"C","1"
"76",781,"3","female","1","<16","FALSE",1,"C","1"
"77",851,"3","male","1","<16","FALSE",7,"S","0"
"78",543,"3","female","1","<16","FALSE",7,"S","0"
"79",436,"1","female","1","<16","TRUE",4,"S","1"
"82",238,"2","female","1","<16","FALSE",3,"S","1"
"83",157,"3","female","1","<16","FALSE",1,"Q","1"
"84",804,"3","male","1","<16","FALSE",2,"C","1"
"85",752,"3","male","1","<16","TRUE",2,"S","1"
"86",845,"3","male","1","<16","FALSE",1,"S","0"
"89",349,"3","male","1","<16","FALSE",3,"S","1"
"92",690,"1","female","1","<16","TRUE",4,"S","1"
"93",408,"2","male","1","<16","FALSE",3,"S","1"
"94",692,"3","female","1","<16","FALSE",2,"C","1"
"96",8,"3","male","1","<16","FALSE",5,"S","0"
"98",643,"3","female","1","<16","FALSE",6,"S","0"
"99",820,"3","male","1","<16","FALSE",6,"S","0"
"101",173,"3","female","1","<16","FALSE",3,"S","1"
"102",51,"3","male","1","<16","FALSE",7,"S","0"
"103",536,"2","female","1","<16","FALSE",3,"S","1"
"105",15,"3","female","1","<16","FALSE",1,"S","0"
"106",542,"3","female","1","<16","FALSE",7,"S","0"
"107",139,"3","male","1","<16","FALSE",2,"S","0"
"108",17,"3","male","1","<16","FALSE",6,"Q","0"
"109",747,"3","male","1","<16","FALSE",3,"S","0"
"110",505,"1","female","1","<16","TRUE",3,"S","1"
"112",306,"1","male","1","<16","TRUE",6,"S","1"
"113",684,"3","male","1","<16","FALSE",8,"S","0"
"114",832,"2","male","1","<16","FALSE",3,"S","1"
"115",751,"2","female","1","<16","FALSE",3,"S","1"
"117",756,"2","male","1","<16","FALSE",2,"S","1"
"118",194,"2","male","1","<16","TRUE",3,"S","1"
"119",72,"3","female","1","<16","FALSE",8,"S","0"
"120",355,"3","male","1","<16","FALSE",1,"C","0"
"121",115,"3","female","1","<16","FALSE",2,"C","0"
"122",721,"2","female","1","<16","FALSE",3,"S","1"
"125",602,"3","male","1","<16","FALSE",1,"S","0"
"126",778,"3","female","1","<16","FALSE",2,"S","1"
"128",575,"3","male","1","<16","FALSE",1,"S","0"
"129",10,"2","female","1","<16","FALSE",2,"C","1"
"130",550,"2","male","1","<16","FALSE",4,"S","1"
"133",853,"3","female","1","<16","FALSE",3,"C","0"
"134",732,"3","male","1","<16","FALSE",2,"C","0"
"136",209,"3","female","1","<16","FALSE",1,"Q","1"
"137",330,"1","female","1","<16","TRUE",2,"C","1"
"138",11,"3","female","1","<16","TRUE",3,"S","1"
"139",387,"3","male","1","<16","FALSE",8,"S","0"
"140",184,"2","male","1","<16","TRUE",4,"S","1"
"141",831,"3","female","1","<16","FALSE",2,"C","1"
"143",825,"3","male","1","<16","FALSE",7,"S","0"
"144",635,"3","female","1","<16","FALSE",6,"S","0"
"145",298,"1","female","1","<16","TRUE",6,"S","0"
"146",181,"3","female","1","<16","FALSE",11,"S","0"
"147",23,"3","female","1","<16","FALSE",1,"Q","1"
"148",112,"3","female","1","<16","FALSE",2,"C","0"
"149",788,"3","male","1","<16","FALSE",6,"Q","0"
"151",353,"3","male","1","<16","FALSE",1,"C","0"
"152",803,"1","male","1","<16","TRUE",4,"S","1"
"153",480,"3","female","1","<16","FALSE",2,"S","1"
"154",69,"3","female","1","<16","FALSE",1,"S","1"
"157",165,"3","male","1","<16","FALSE",7,"S","0"
"158",842,"2","male","1","<16","FALSE",2,"S","0"
"159",202,"3","male","1","<16","FALSE",11,"S","0"
"161",129,"3","female","1","<16","TRUE",3,"C","1"
"163",531,"2","female","1","<16","FALSE",3,"S","1"
"165",528,"1","male","1","<16","TRUE",4,"S","0"
"166",501,"3","male","1","<16","FALSE",1,"S","0"
"167",870,"3","male","1","<16","FALSE",3,"S","1"
"168",410,"3","female","1","<16","FALSE",5,"S","0"
"169",206,"3","female","1","<16","TRUE",2,"S","0"
"170",789,"3","male","1","<16","FALSE",4,"S","1"
"171",434,"3","male","1","<16","FALSE",1,"S","0"
"172",85,"2","female","1","<16","FALSE",1,"S","1"
"174",420,"3","female","1","<16","FALSE",3,"S","0"
"176",87,"3","male","1","<16","FALSE",5,"S","0"
"178",558,"1","male","1","<16","FALSE",5,"C","0"
"180",177,"3","male","1","<16","FALSE",5,"S","0"
"182",876,"3","female","1","<16","FALSE",1,"C","1"
"183",449,"3","female","1","<16","FALSE",4,"C","1"
"185",1,"3","male","2","16-21","FALSE",1,"S","0"
"186",244,"3","male","2","16-21","FALSE",1,"S","0"
"187",609,"2","female","2","16-21","FALSE",4,"C","1"
"188",368,"3","female","2","16-21","FALSE",1,"C","1"
"191",492,"3","male","2","16-21","FALSE",1,"S","0"
"192",372,"3","male","2","16-21","FALSE",1,"S","0"
"193",373,"3","male","2","16-21","FALSE",1,"S","0"
"194",374,"1","male","2","16-21","FALSE",4,"C","0"
"195",132,"3","male","2","16-21","FALSE",1,"S","0"
"197",13,"3","male","2","16-21","FALSE",1,"S","0"
"198",377,"3","female","2","16-21","FALSE",1,"S","1"
"199",379,"3","male","2","16-21","FALSE",1,"C","0"
"200",380,"3","male","2","16-21","FALSE",1,"S","0"
"201",502,"3","female","2","16-21","FALSE",1,"Q","0"
"204",141,"3","female","2","16-21","FALSE",3,"C","0"
"205",749,"1","male","2","16-21","TRUE",2,"S","0"
"206",386,"2","male","2","16-21","FALSE",7,"S","0"
"208",145,"2","male","2","16-21","FALSE",1,"S","0"
"209",389,"3","male","2","16-21","FALSE",1,"Q","0"
"211",27,"3","male","2","16-21","FALSE",1,"C","0"
"212",28,"1","male","2","16-21","TRUE",6,"S","0"
"213",29,"3","female","2","16-21","FALSE",1,"Q","1"
"214",758,"2","male","2","16-21","FALSE",1,"S","0"
"216",396,"3","male","2","16-21","FALSE",1,"S","0"
"217",761,"3","male","2","16-21","FALSE",2,"S","0"
"218",883,"3","female","2","16-21","FALSE",1,"S","0"
"219",763,"3","male","2","16-21","FALSE",1,"C","1"
"222",38,"3","male","2","16-21","FALSE",1,"S","0"
"223",39,"3","female","2","16-21","FALSE",2,"S","0"
"224",889,"3","female","2","16-21","FALSE",4,"S","0"
"225",405,"3","female","2","16-21","FALSE",1,"S","0"
"226",284,"3","male","2","16-21","FALSE",1,"S","1"
"228",205,"3","male","2","16-21","FALSE",1,"S","1"
"229",45,"3","female","2","16-21","FALSE",1,"Q","1"
"232",48,"3","female","2","16-21","FALSE",1,"Q","1"
"234",50,"3","female","2","16-21","FALSE",2,"S","0"
"236",52,"3","male","2","16-21","FALSE",1,"S","0"
"237",174,"3","male","2","16-21","FALSE",1,"S","0"
"238",418,"2","female","2","16-21","FALSE",1,"S","1"
"239",176,"3","male","2","16-21","FALSE",1,"S","0"
"241",57,"2","female","2","16-21","FALSE",1,"S","1"
"242",422,"3","male","2","16-21","FALSE",1,"Q","0"
"243",787,"3","female","2","16-21","FALSE",1,"S","1"
"245",61,"3","male","2","16-21","FALSE",1,"C","0"
"246",547,"2","female","2","16-21","FALSE",2,"S","1"
"248",428,"2","female","2","16-21","FALSE",2,"S","1"
"250",227,"2","male","2","16-21","FALSE",1,"S","1"
"252",68,"3","male","2","16-21","FALSE",1,"S","0"
"253",554,"3","male","2","16-21","FALSE",1,"C","1"
"254",555,"3","female","2","16-21","FALSE",1,"S","1"
"255",192,"2","male","2","16-21","FALSE",1,"S","0"
"256",193,"3","female","2","16-21","FALSE",1,"S","1"
"257",73,"2","male","2","16-21","FALSE",7,"S","0"
"260",561,"3","male","2","16-21","FALSE",1,"Q","0"
"262",78,"3","male","2","16-21","FALSE",1,"S","0"
"264",808,"3","female","2","16-21","FALSE",1,"S","0"
"265",81,"3","male","2","16-21","FALSE",1,"S","0"
"266",567,"3","male","2","16-21","FALSE",1,"S","0"
"267",689,"3","male","2","16-21","FALSE",1,"S","0"
"268",688,"3","male","2","16-21","FALSE",1,"S","0"
"270",651,"3","male","2","16-21","FALSE",1,"S","0"
"272",452,"3","male","2","16-21","FALSE",1,"S","0"
"273",331,"3","female","2","16-21","FALSE",3,"Q","1"
"275",576,"3","male","2","16-21","FALSE",2,"S","0"
"276",92,"3","male","2","16-21","FALSE",1,"S","0"
"278",579,"3","female","2","16-21","FALSE",2,"C","0"
"280",460,"3","male","2","16-21","FALSE",1,"Q","0"
"283",827,"3","male","2","16-21","FALSE",8,"S","0"
"284",261,"3","male","2","16-21","FALSE",1,"Q","0"
"285",829,"3","male","2","16-21","FALSE",1,"Q","1"
"287",103,"1","male","2","16-21","TRUE",2,"S","0"
"288",589,"3","male","2","16-21","FALSE",1,"S","0"
"289",226,"3","male","2","16-21","FALSE",1,"S","0"
"290",146,"2","male","2","16-21","FALSE",4,"S","0"
"291",107,"3","female","2","16-21","FALSE",1,"S","1"
"292",229,"2","male","2","16-21","FALSE",1,"S","0"
"293",837,"3","male","2","16-21","FALSE",1,"S","0"
"295",475,"3","female","2","16-21","FALSE",1,"S","0"
"296",597,"2","female","2","16-21","FALSE",3,"S","1"
"297",113,"3","male","2","16-21","FALSE",1,"S","0"
"298",114,"3","female","2","16-21","FALSE",1,"S","0"
"299",479,"3","male","2","16-21","FALSE",1,"S","0"
"300",116,"3","male","2","16-21","FALSE",1,"S","0"
"302",239,"2","male","2","16-21","FALSE",1,"S","0"
"304",241,"3","female","2","16-21","FALSE",2,"C","0"
"305",121,"2","male","2","16-21","FALSE",7,"S","0"
"306",647,"3","male","2","16-21","FALSE",1,"S","0"
"307",324,"2","female","2","16-21","FALSE",3,"S","1"
"308",137,"1","female","2","16-21","TRUE",1,"S","1"
"309",623,"3","male","2","16-21","FALSE",3,"C","1"
"310",569,"3","male","2","16-21","FALSE",1,"C","0"
"311",665,"3","male","2","16-21","FALSE",1,"S","1"
"312",653,"3","male","2","16-21","FALSE",1,"S","0"
"315",495,"3","male","2","16-21","FALSE",1,"S","0"
"318",862,"2","male","2","16-21","FALSE",1,"S","0"
"319",336,"3","male","2","16-21","FALSE",1,"S","0"
"321",878,"3","male","2","16-21","FALSE",1,"S","0"
"322",312,"1","female","2","16-21","TRUE",7,"C","1"
"323",624,"3","male","2","16-21","FALSE",1,"S","0"
"326",142,"3","female","2","16-21","FALSE",1,"S","1"
"327",628,"1","female","2","16-21","TRUE",3,"S","1"
"328",144,"3","male","2","16-21","FALSE",1,"Q","0"
"332",512,"3","male","2","16-21","FALSE",1,"S","0"
"333",877,"3","male","2","16-21","FALSE",2,"S","0"
"336",152,"1","female","2","16-21","TRUE",2,"S","1"
"338",275,"3","female","2","16-21","FALSE",1,"Q","1"
"339",640,"3","male","2","16-21","FALSE",2,"S","0"
"340",641,"3","male","2","16-21","FALSE",1,"S","0"
"342",522,"3","male","2","16-21","FALSE",1,"S","0"
"343",159,"3","male","2","16-21","FALSE",1,"S","0"
"344",888,"1","female","2","16-21","TRUE",1,"S","1"
"345",403,"3","female","2","16-21","FALSE",1,"S","0"
"347",701,"1","female","2","16-21","TRUE",5,"C","1"
"350",676,"3","male","2","16-21","FALSE",1,"S","0"
"351",678,"3","female","2","16-21","FALSE",1,"S","1"
"352",288,"3","male","2","16-21","FALSE",1,"S","0"
"353",290,"3","female","2","16-21","FALSE",1,"Q","1"
"354",655,"3","female","2","16-21","FALSE",1,"Q","0"
"355",292,"1","female","2","16-21","TRUE",2,"C","1"
"357",213,"3","male","2","16-21","FALSE",1,"S","0"
"359",228,"3","male","2","16-21","FALSE",1,"S","0"
"362",716,"3","male","2","16-21","TRUE",1,"S","0"
"363",703,"3","female","2","16-21","FALSE",2,"C","0"
"366",182,"2","male","2","16-21","FALSE",1,"C","0"
"367",425,"3","male","2","16-21","FALSE",3,"S","0"
"369",265,"3","female","2","16-21","FALSE",1,"Q","0"
"372",565,"3","female","2","16-21","FALSE",1,"S","0"
"373",523,"3","male","2","16-21","FALSE",1,"C","0"
"374",442,"3","male","2","16-21","FALSE",1,"S","0"
"376",392,"3","male","2","16-21","FALSE",1,"S","1"
"377",743,"1","female","2","16-21","TRUE",7,"C","1"
"380",357,"1","female","2","16-21","TRUE",2,"S","1"
"381",856,"3","female","2","16-21","FALSE",2,"S","1"
"382",683,"3","male","2","16-21","FALSE",1,"S","0"
"386",726,"3","male","2","16-21","FALSE",1,"S","0"
"388",594,"3","female","2","16-21","FALSE",1,"Q","0"
"393",652,"2","female","2","16-21","FALSE",2,"S","1"
"394",303,"3","male","2","16-21","FALSE",4,"S","0"
"395",776,"3","male","2","16-21","FALSE",1,"S","0"
"396",506,"1","male","2","16-21","TRUE",3,"C","0"
"401",321,"3","male","2","16-21","FALSE",1,"S","0"
"402",586,"1","female","2","16-21","TRUE",3,"S","1"
"403",835,"3","male","2","16-21","FALSE",1,"S","0"
"404",709,"1","female","2","16-21","FALSE",6,"S","1"
"408",409,"3","male","2","16-21","FALSE",1,"S","0"
"411",654,"3","female","2","16-21","FALSE",1,"Q","1"
"412",540,"1","female","2","16-21","TRUE",1,"C","1"
"413",841,"3","male","2","16-21","FALSE",1,"S","0"
"415",437,"3","female","2","16-21","FALSE",5,"S","0"
"417",625,"3","male","2","16-21","FALSE",2,"S","0"
"419",650,"3","female","3",">21-26","FALSE",1,"S","1"
"420",694,"3","male","3",">21-26","FALSE",1,"C","0"
"422",3,"3","female","3",">21-26","FALSE",1,"S","1"
"423",135,"2","male","3",">21-26","FALSE",1,"S","0"
"424",729,"2","male","3",">21-26","FALSE",2,"S","0"
"426",585,"3","male","3",">21-26","FALSE",1,"C","0"
"428",140,"1","male","3",">21-26","TRUE",2,"C","0"
"430",371,"1","male","3",">21-26","TRUE",2,"C","1"
"431",601,"2","female","3",">21-26","FALSE",2,"S","1"
"433",530,"2","male","3",">21-26","FALSE",1,"S","0"
"434",754,"3","male","3",">21-26","FALSE",1,"S","0"
"435",510,"3","male","3",">21-26","FALSE",8,"S","1"
"436",297,"3","male","3",">21-26","FALSE",1,"C","0"
"437",247,"3","female","3",">21-26","FALSE",1,"S","0"
"438",43,"3","male","3",">21-26","FALSE",1,"C","0"
"439",769,"3","male","3",">21-26","FALSE",3,"Q","0"
"440",705,"3","male","3",">21-26","FALSE",1,"S","0"
"441",620,"2","male","3",">21-26","FALSE",1,"S","0"
"442",704,"3","male","3",">21-26","FALSE",1,"Q","0"
"443",302,"3","male","3",">21-26","FALSE",3,"Q","1"
"446",795,"3","male","3",">21-26","FALSE",1,"S","0"
"447",496,"3","male","3",">21-26","FALSE",2,"C","0"
"448",294,"3","female","3",">21-26","FALSE",1,"S","0"
